Source,Target
0,2
0,6
0,9
0,10
0,13
0,15
0,17
0,21
0,23
0,25
0,27
0,30
0,31
0,32
0,33
0,34
0,36
0,37
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,61
0,63
0,65
0,67
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,80
0,82
0,87
0,90
0,93
0,97
0,98
0,99
0,101
0,103
0,104
0,107
0,109
0,110
0,111
0,112
0,113
0,115
0,119
0,121
0,123
0,124
0,125
0,126
0,130
0,132
0,133
0,134
0,136
0,137
0,139
0,141
0,144
0,146
0,147
0,150
0,153
0,154
0,155
0,156
0,158
0,159
0,162
0,163
0,164
0,165
0,167
0,168
0,173
0,176
0,177
0,178
0,180
0,184
0,185
0,187
0,189
0,191
0,192
0,193
0,196
0,197
0,199
0,200
0,202
0,203
0,204
0,207
0,210
0,213
0,214
0,215
1,2
1,6
1,9
1,10
1,13
1,15
1,17
1,21
1,23
1,25
1,27
1,30
1,31
1,32
1,33
1,34
1,36
1,37
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,61
1,63
1,65
1,67
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,76
1,77
1,78
1,80
1,82
1,87
1,90
1,93
1,97
1,98
1,99
1,101
1,103
1,104
1,107
1,109
1,110
1,111
1,112
1,113
1,115
1,119
1,121
1,123
1,124
1,125
1,126
1,130
1,132
1,133
1,134
1,136
1,137
1,139
1,141
1,144
1,146
1,147
1,150
1,153
1,154
1,155
1,156
1,158
1,159
1,162
1,163
1,164
1,165
1,167
1,168
1,173
1,176
1,177
1,178
1,180
1,184
1,185
1,187
1,189
1,191
1,192
1,193
1,196
1,197
1,199
1,200
1,202
1,203
1,204
1,207
1,210
1,213
1,214
1,215
2,2
2,6
2,9
2,10
2,13
2,15
2,17
2,21
2,23
2,25
2,27
2,30
2,31
2,32
2,33
2,34
2,36
2,37
2,42
2,43
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,51
2,52
2,53
2,54
2,55
2,56
2,57
2,58
2,59
2,61
2,63
2,65
2,67
2,69
2,70
2,71
2,72
2,73
2,74
2,75
2,76
2,77
2,78
2,80
2,82
2,87
2,90
2,93
2,97
2,98
2,99
2,101
2,103
2,104
2,107
2,109
2,110
2,111
2,112
2,113
2,115
2,119
2,121
2,123
2,124
2,125
2,126
2,130
2,132
2,133
2,134
2,136
2,137
2,139
2,141
2,144
2,146
2,147
2,150
2,153
2,154
2,155
2,156
2,158
2,159
2,162
2,163
2,164
2,165
2,167
2,168
2,173
2,176
2,177
2,178
2,180
2,184
2,185
2,187
2,189
2,191
2,192
2,193
2,196
2,197
2,199
2,200
2,202
2,203
2,204
2,207
2,210
2,213
2,214
2,215
3,2
3,6
3,9
3,10
3,13
3,15
3,17
3,21
3,23
3,25
3,27
3,30
3,31
3,32
3,33
3,34
3,36
3,37
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
3,51
3,52
3,53
3,54
3,55
3,56
3,57
3,58
3,59
3,61
3,63
3,65
3,67
3,69
3,70
3,71
3,72
3,73
3,74
3,75
3,76
3,77
3,78
3,80
3,82
3,87
3,90
3,93
3,97
3,98
3,99
3,101
3,103
3,104
3,107
3,109
3,110
3,111
3,112
3,113
3,115
3,119
3,121
3,123
3,124
3,125
3,126
3,130
3,132
3,133
3,134
3,136
3,137
3,139
3,141
3,144
3,146
3,147
3,150
3,153
3,154
3,155
3,156
3,158
3,159
3,162
3,163
3,164
3,165
3,167
3,168
3,173
3,176
3,177
3,178
3,180
3,184
3,185
3,187
3,189
3,191
3,192
3,193
3,196
3,197
3,199
3,200
3,202
3,203
3,204
3,207
3,210
3,213
3,214
3,215
4,2
4,6
4,9
4,10
4,13
4,15
4,17
4,21
4,23
4,25
4,27
4,30
4,31
4,32
4,33
4,34
4,36
4,37
4,42
4,43
4,44
4,45
4,46
4,47
4,48
4,49
4,50
4,51
4,52
4,53
4,54
4,55
4,56
4,57
4,58
4,59
4,61
4,63
4,65
4,67
4,69
4,70
4,71
4,72
4,73
4,74
4,75
4,76
4,77
4,78
4,80
4,82
4,87
4,90
4,93
4,97
4,98
4,99
4,101
4,103
4,104
4,107
4,109
4,110
4,111
4,112
4,113
4,115
4,119
4,121
4,123
4,124
4,125
4,126
4,130
4,132
4,133
4,134
4,136
4,137
4,139
4,141
4,144
4,146
4,147
4,150
4,153
4,154
4,155
4,156
4,158
4,159
4,162
4,163
4,164
4,165
4,167
4,168
4,173
4,176
4,177
4,178
4,180
4,184
4,185
4,187
4,189
4,191
4,192
4,193
4,196
4,197
4,199
4,200
4,202
4,203
4,204
4,207
4,210
4,213
4,214
4,215
5,2
5,6
5,9
5,10
5,13
5,15
5,17
5,21
5,23
5,25
5,27
5,30
5,31
5,32
5,33
5,34
5,36
5,37
5,42
5,43
5,44
5,45
5,46
5,47
5,48
5,49
5,50
5,51
5,52
5,53
5,54
5,55
5,56
5,57
